Player,Actual,Career Att,Career Rush Yards,Career Rush Avg,Career Rush TD,Career Rec,Career Rec Yards,Career Rec Avg,Career Rec TD,Career Touches,Career Scrimmage Yards,Career yards/touch,Career TOT TDs,Last Season Att,Last Season Rush Yards,Last Season Rush Avg,Last Season Rush TD,Last Season Rec,Last Season Rec Yards,Last Season Rec Avg,Last Season Rec TD,Last Season Touches,Last Season Scrimmage Yards,Last Season Yards/Touch,Last Season TOT TDs
Derrick Henry +,105.7,15.43589744,92.07692308,5.965116279,1.076923077,0.435897436,7.307692308,16.76470588,0.076923077,15.87179487,99.38461538,6.261712439,1.153846154,26.33333333,147.9333333,5.617721519,1.866666667,0.762393162,6.066666667,7.957399103,0,27.06666667,154,5.689655172,1.866666667
Dalvin Cook,67.4,18.07894737,117.4736842,6.497816594,1.210526316,2.078947368,24.60526316,11.83544304,0.052631579,20.15789474,142.0789474,7.048302872,1.263157895,22.15384615,135.7692308,6.128472222,1.461538462,2.698380567,37.53846154,13.91147787,0.076923077,24.69230769,173.3076923,7.018691589,1.538461538
Alvin Kamara ,314.4,8.75,53.91666667,6.161904762,0.666666667,3.083333333,28.45833333,9.22972973,0.291666667,11.83333333,82.375,6.961267606,0.958333333,9.363636364,54.18181818,5.786407767,0.818181818,3.916666667,35.63636364,9.098646035,0.363636364,13,89.81818182,6.909090909,1.181818182
Stefon Diggs+,149.3,1.142857143,6.678571429,5.84375,0,5.357142857,79.53571429,14.84666667,0.5,6.5,86.21428571,13.26373626,0.5,0.614285714,2.8,4.558139535,0,6.2,79.2,12.77419355,0.5,6.7,82,12.23880597,0.5
David Montgomery,174.4,16.86486486,79.05405405,4.6875,0.702702703,1.918918919,15.72972973,8.197183099,0,18.78378378,94.78378378,5.046043165,0.702702703,21.41666667,101.3333333,4.73151751,1.083333333,1.993243243,13.08333333,6.563841808,0,23.25,114.4166667,4.921146953,1.083333333
Aaron Jones,80,18.8,117.5428571,6.252279635,0.942857143,2.028571429,18.45714286,9.098591549,0.2,20.82857143,136,6.529492455,1.142857143,19.08333333,147.75,7.742358079,1.416666667,2.502380952,19.41666667,7.759276879,0.25,21.41666667,167.1666667,7.805447471,1.666666667
Travis Kelce+,0,0.228571429,1.342857143,5.875,0.057142857,1.685714286,25,14.83050847,0.285714286,1.914285714,26.34285714,13.76119403,0.342857143,0,0,0,0,3.461538462,55.53846154,16.04444444,0.615384615,3.461538462,55.53846154,16.04444444,0.615384615
DeAndre Hopkins,144.2,0,0,0,0,5.282051282,77.43589744,14.66019417,0.692307692,5.282051282,77.43589744,14.66019417,0.692307692,0,0,0,0,6.307692308,108.0769231,17.13414634,1.384615385,6.307692308,108.0769231,17.13414634,1.384615385
Calvin Ridley,208.8,0.181818182,0.909090909,5,0.022727273,5.090909091,63.20454545,12.41517857,0.431818182,5.272727273,64.11363636,12.15948276,0.454545455,0.155844156,1.214285714,7.791666667,0,4.5,69.07142857,15.34920635,0.357142857,4.642857143,70.28571429,15.13846154,0.357142857
Davante Adams+,100.6,0,0,0,0,8.961538462,116.5769231,13.00858369,1.461538462,8.961538462,116.5769231,13.00858369,1.461538462,0,0,0,0,10.07692308,132.2307692,13.1221374,1.846153846,10.07692308,132.2307692,13.1221374,1.846153846
